,job_name,Job_type,experience,location,job_desc,key_skills,pay_scale
263,sales insurance manager,JOBS N TA HR SERVICES,1 - 3 yrs,"Hyderabad/Secunderabad,  Guntur,  Kakinada,  Karimnagar,  Kurnool","Job Description      Recruit Agents  /  Advisors       Develop agents through coaching ,  training ,  team management support etc      Drive agents and advisors  team  ,  acti... More Details","Cross selling Insurance  ,  Banking  ,  Finance  ,  Field sales  ,  Agency Manager",Rs 1.00 - 4.00 L.P.A
264,Relationship Officer,JOBS N TA HR SERVICES,1 - 3 yrs,"Kollam,  Thiruvananthapuram",Key Roles:Drive revenue growth by leveraging leads from 4-5 assigned banks.design and implement effective incentive programs for bank staff.Ensure efficient processing of medi... More Details,"Relationship Manager  ,  insurance  ,  life insurance  ,  Banking  ,  Financial Services  ,  Loans  ,  Credit",Rs 2.05 - 2.60 L.P.A
265,Relationship Manager,JOBS N TA HR SERVICES,3 - 6 yrs,"Bengaluru / Bangalore,  Chennai,  Coimbatore,  Madurai,  Nagercoil",Getting leads from allotted Bank and source business through direct marketing techniques.Responsible for establishing and strengthening relationship with customers in Bank.Fol... More Details,"Life insurance  ,  relationship Manager  ,  Business Development Manager  ,  unit Manager  ,  corporate account manager  ,  key account Manager  ,  kanchipuram  ,  theni",Rs 2.00 - 4.00 L.P.A
266,Wanted MD Pediatrics  near Guntur,M care Jobs,4 - 5 yrs,"Guntur,  Nellore,  Ongole,  Rajahmundry,  Vijayawada","Wanted MD Paediatrics near GunturPediatrician Responsibilities:Diagnosing and treating illnesses ,  medical conditions ,  and injuries.Ordering ,  performing ,  and interpreti... More Details","Pediatric  ,  Pediatrics",Rs 24.00 - 36.00 L.P.A
267,Agency Manager-Agency channel-CTC 4.5 to 5.5,JOBS N TA HR SERVICES,1 - 5 yrs,"Chennai,  Hyderabad/Secunderabad,  Visakhapatnam,  Trichy","Achieve the sales revenue target in the assigned territoryChannel Development and Infrastructure  ( Distributors  /  Retailers ) Monitor the performance of distributors ,  pre... More Details","agency channel  ,  agency  ,  agent recruitment  ,  agency manager  ,  cross selling  ,  BFSI sales  ,  field sales  ,  insurance sales  ,  life insurance  ,  agent",Rs 1.00 - 5.00 L.P.A
268,Required MD Radiologist for Chhattisgarh,M care Jobs,3 - 4 yrs,"Bhilai-Durg,  Bilaspur,  Raipur,  Other City(s) in Chhattisgarh","DM Radiologist Vacancy for Chhattisgarh , Mahasamund , BasnaResponsibilities :Reviewing and interpreting medical images to determine patient status and future medical careDete... More Details","mri  ,  ctscan  ,  ultascan   ,  tiffa scan",Rs 24.00 - 36.00 L.P.A
269,Required Critical care team @ Chirala,M care Jobs,4 - 5 yrs,"Guntur,  Nellore,  Ongole,  Rajahmundry,  Vijayawada",a Leading Hospital is required OT  &  Critical care unit team immediatly for chiralaCritical care is medical care for people who have life-threatening injuries and illnesses. ... More Details,"Critical care  ,  icu  ,  Cpr  ,  Maintenance",Rs 4.00 - 5.00 L.P.A
270,HIRING 10TH AND 12TH PASS CANDIDATE FOR AIRPORT,CKP Jobs,0 - 3 yrs,"Dhule,  Dombivali,  Gondia,  Hinganghat,  Jalgaon",more detail call miss ManishaSingh 74284#97449 JOB DESCRIPTIONGround Staff job for freshers apply fast Airport wise vacancy open limited seats for freshers apply fast Start yo... More Details,"Airport Handling Operation Ground Handling  ,  Airport Security  ,  Domestic Ticketing  ,  Airline Ticketing  ,  Air Ticketing  ,  cabin crew",Rs 3.10 - 10.15 L.P.A
271,Wanted Laparoscopy Surgeon @ Nellore,M care Jobs,4 - 5 yrs,,Wanted Laparoscopy Surgeon forAP locationKey Responsibilities:Conduct thorough patient assessments and diagnose surgical conditions.Perform a variety of general surgical proce... More Details,laparoscopy,
272,MD Radiologist Vacancies @ Miryalguda,M care Jobs,3 - 4 yrs,"Hyderabad/Secunderabad,  Medak,  Nalgonda,  Sangareddy,  Other City(s) in Andhra Pradesh",MD Radiologist Vacancie @ MiryalagudaResponsibilitiesReviewing and interpreting medical images to determine patient status and future medical careDetermining the exact images ... More Details,"mri  ,  ctscan  ,  ultascan   ,  tiffa scan",Rs 36.00 - 48.00 L.P.A
273,Senior Relationship Officer-Banca Channel-CTC 4 to 5 LPA,JOBS N TA HR SERVICES,1 - 4 yrs,Vijayawada,To sell Life insurance products through the assigned Bank Channels by building long term relationship with the bank. Building Relationship and Motivate branch staff to help ge... More Details,"agency  ,  agency manager  ,  life insurance  ,  insurance sales  ,  business development manger  ,  agent",Rs 1.00 - 4.00 L.P.A
274,"""Branch Relationship Manager""",JOBS N TA HR SERVICES,1 - 5 yrs,Chennai,Promote and sell life insurance policies to prospective clients through direct channelsUnderstand client needs and recommend suitable insurance productsBuild and maintain rela... More Details,"insurance sales  ,  unit manager  ,  life insuance  ,  BFSI sales  ,  Cross selling  ,  Agency channel  ,  agency manager  ,  Relationship manager  ,  corporate sales executive  ,  sales executive",Rs 1.00 - 5.00 L.P.A
275,Wanted Gynecologist Junior / Senior Register for Tamilnadu,M care Jobs,4 - 5 yrs,,"Wanted Gynecologist Junior / Senior Register for TamilnaduLocation's : Madhurai , Chennai  , Coimbatore , Tanjavur , HosurRegistrar is responsible for providing the care of hi... More Details","Obstetrics  ,  Gynaecologist",
276,Branch Sales Manager-Agency / Health Insurance,JOBS N TA HR SERVICES,5 - 10 yrs,"Bengaluru / Bangalore,  Chennai,  Nellore,  Other City(s) in Karnataka,  Coimbatore",Manager - Agency will be responsible for handling an on roll team of 8 -10 sales managers in Agency Channel.Team of Sales Manager will be responsible for Recruitment of Team  ... More Details,"Agency Manager  ,  Branch Manager  ,  Branch Head  ,  Area Manager  ,  Territory Manager  ,  Agency Partner  ,  Agency Leader  ,  Agent  ,  Cluster Manager  ,  Channel Sales Manager  ,  UnIT head",Rs 5.00 - 10.00 L.P.A
277,Sales Development Manager-Agency -CTC 4  to 5 LPA,JOBS N TA HR SERVICES,1 - 5 yrs,"Chennai,  Trichy",Agency means you have to hire 10 to 15 members..you have to train them  &  manage them ...you are in onrole they are in off roleIt is based on  field salesRecruit Agents  /  A... More Details,"insurance sales  ,  unit manager  ,  life insuance  ,  BFSI sales  ,  Cross selling  ,  Agency channel  ,  agency manager  ,  Relationship manager  ,  corporate sales executive  ,  sales executive",Rs 1.00 - 5.00 L.P.A
278,BUSINESSDEVELOPMENT MANAGER,JOBS N TA HR SERVICES,1 - 6 yrs,"Calicut/ Kozhikode,  Cochin/ Kochi/ Ernakulam,  Kannur,  Kollam,  Kottayam",Generate Revenue by getting business from leads generated through assigned 4-5 Bank.cascade the incentive programs to Banks StaffResponsible for sales completion by facilitati... More Details,"INSURANCE  ,  BANKING  ,  BANKING SALES  ,  LOAN SALES  ,  CARD SALES",Rs 2.00 - 5.00 L.P.A
279,MD Radiologist vacancies @ Chennai Hyd Bangalore,M care Jobs,4 - 5 yrs,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Madurai,  Vellore","Wanted MD Radiologist for Chennai , Madurai , Bangalore , HyderabadLocation's :1 )  Chennai : Full Time / Part Time            1 ) Kilpauk 2 ) Alwarpet  3 ) Medavakkam4 ) Vela... More Details","MRi  ,  Ultrasound  ,  Ct Scan  ,  X-ray  ,  Interventional Radiology  ,  Predominantly ultrsound",Rs 26.00 - 36.00 L.P.A
280,Looking for MD General Medicine for Sangareddy near Hyd,M care Jobs,3 - 4 yrs,"Hyderabad/Secunderabad,  Mahabubnagar,  Medak,  Nalgonda,  Sangareddy",Wanted MD General Medicine for Sangareddy near HyderabadLocation's : SangareddyGeneral Practitioner Responsibilities:Inspecting and updating patients' charts.Diagnosing common... More Details,"epidemiology  ,  diagnostic skills  ,  critical thinking  ,  Medical Doctor  ,  General Physician",Rs 29.00 - 36.00 L.P.A
281,Looking for Biochemist @ Bhubaneshwar,M care Jobs,2 - 4 yrs,,Job brief :We are seeking a skilled Biochemist to join our team and contribute to our organizations research projects and experiments aimed at gaining a deeper understanding o... More Details,"Biochemistry  ,  Biotechnology  ,  Microbiology  ,  Dna",
282,General Insurance Agency Manager,JOBS N TA HR SERVICES,1 - 4 yrs,"Calicut/ Kozhikode,  Cochin/ Kochi/ Ernakulam,  Thiruvananthapuram","Job DescriptionRecruitment and Development:Identify and recruit potential insurance agents.Conduct training sessions to enhance agents' product knowledge ,  sales skills ,  an... More Details","Sales  ,  senior sales executive  ,  Agency manager  ,  Agency channel  ,  Agent Recruitment  ,  Unit manager  ,  Agency Sales",Rs 2.05 - 3.75 L.P.A
283,Client Manager,JOBS N TA HR SERVICES,1 - 5 yrs,"Cochin/ Kochi/ Ernakulam,  Kottayam,  Thiruvananthapuram",Generate Revenue by getting business from leads generated through assigned 4-5 banks.Responsible for sales completion by facilitating completion of medical reports  &  ensurin... More Details,"life insurance sales  ,  banking sales  ,  bfsi sales  ,  nbfc sales  ,  loan sales  ,  credit card sales  ,  health insurance sales",Rs 2.15 - 4.10 L.P.A
284,Jr.consultant Cardiology  with 2yr experience for Hyderabad,M care Jobs,2 - 5 yrs,"Hyderabad/Secunderabad,  Mahabubnagar,  Medak,  Nalgonda,  Sangareddy",A leading Hosipital in Hyderabad is looking for Jr.Consultant Cardiologist with 1 -2 yr of experienceCardiologist Job ResponsibilitiesDiagnose and treat disorders and diseases... More Details,"ecg  ,  2d Echo  ,  Tmt  ,  cardiac emergency  ,  cath lab",Rs 36.00 - 60.00 L.P.A
285,"Unit Manager , Banca , Fresher , 2.4  LPA",JOBS N TA HR SERVICES,0 - 1 yrs,Chennai,"Key Responsibilities:Sales Management: Achieve and exceed sales targets for health insurance products across the assigned bank branches.Team Leadership: Lead ,  manage ,  and ... More Details","Life insurance  ,  field sales",Rs 2.00 - 2.40 L.P.A
286,Business Development Manager -Banca channel-4.2 LPA,JOBS N TA HR SERVICES,1 - 4 yrs,"Anantapur,  Hosur,  Kanniyakumari,  Tuticorin",To sell Life insurance products through the assigned Bank Channels by building long term relationship with the bank. Building Relationship and Motivate branch staff to help ge... More Details,"agency  ,  agency manager  ,  life insurance  ,  insurance sales  ,  business development manger  ,  agent",Rs 1.00 - 4.00 L.P.A
287,Agency Development manager -4 LPA,JOBS N TA HR SERVICES,1 - 5 yrs,"Rajahmundry,  Warangal",Agency means you have to hire 10 to 15 members..you have to train them  &  manage them ...you are in onrole they are in off roleIt is based on  field salesRecruit Agents  /  A... More Details,"insurance sales  ,  unit manager  ,  life insuance  ,  BFSI sales  ,  Cross selling  ,  Agency channel  ,  agency manager  ,  Relationship manager  ,  corporate sales executive  ,  sales executive",Rs 1.00 - 5.00 L.P.A
288,sales insurance manager,JOBS N TA HR SERVICES,1 - 3 yrs,"Hyderabad/Secunderabad,  Guntur,  Kakinada,  Karimnagar,  Kurnool","Job Description      Recruit Agents  /  Advisors       Develop agents through coaching ,  training ,  team management support etc      Drive agents and advisors  team  ,  acti... More Details","Cross selling Insurance  ,  Banking  ,  Finance  ,  Field sales  ,  Agency Manager",Rs 1.00 - 4.00 L.P.A
289,Relationship Officer,JOBS N TA HR SERVICES,1 - 3 yrs,"Kollam,  Thiruvananthapuram",Key Roles:Drive revenue growth by leveraging leads from 4-5 assigned banks.design and implement effective incentive programs for bank staff.Ensure efficient processing of medi... More Details,"Relationship Manager  ,  insurance  ,  life insurance  ,  Banking  ,  Financial Services  ,  Loans  ,  Credit",Rs 2.05 - 2.60 L.P.A
290,Relationship Manager,JOBS N TA HR SERVICES,3 - 6 yrs,"Bengaluru / Bangalore,  Chennai,  Coimbatore,  Madurai,  Nagercoil",Getting leads from allotted Bank and source business through direct marketing techniques.Responsible for establishing and strengthening relationship with customers in Bank.Fol... More Details,"Life insurance  ,  relationship Manager  ,  Business Development Manager  ,  unit Manager  ,  corporate account manager  ,  key account Manager  ,  kanchipuram  ,  theni",Rs 2.00 - 4.00 L.P.A
291,Wanted MD Pediatrics  near Guntur,M care Jobs,4 - 5 yrs,"Guntur,  Nellore,  Ongole,  Rajahmundry,  Vijayawada","Wanted MD Paediatrics near GunturPediatrician Responsibilities:Diagnosing and treating illnesses ,  medical conditions ,  and injuries.Ordering ,  performing ,  and interpreti... More Details","Pediatric  ,  Pediatrics",Rs 24.00 - 36.00 L.P.A
292,Agency Manager-Agency channel-CTC 4.5 to 5.5,JOBS N TA HR SERVICES,1 - 5 yrs,"Chennai,  Hyderabad/Secunderabad,  Visakhapatnam,  Trichy","Achieve the sales revenue target in the assigned territoryChannel Development and Infrastructure  ( Distributors  /  Retailers ) Monitor the performance of distributors ,  pre... More Details","agency channel  ,  agency  ,  agent recruitment  ,  agency manager  ,  cross selling  ,  BFSI sales  ,  field sales  ,  insurance sales  ,  life insurance  ,  agent",Rs 1.00 - 5.00 L.P.A
293,Required MD Radiologist for Chhattisgarh,M care Jobs,3 - 4 yrs,"Bhilai-Durg,  Bilaspur,  Raipur,  Other City(s) in Chhattisgarh","DM Radiologist Vacancy for Chhattisgarh , Mahasamund , BasnaResponsibilities :Reviewing and interpreting medical images to determine patient status and future medical careDete... More Details","mri  ,  ctscan  ,  ultascan   ,  tiffa scan",Rs 24.00 - 36.00 L.P.A
294,Required Critical care team @ Chirala,M care Jobs,4 - 5 yrs,"Guntur,  Nellore,  Ongole,  Rajahmundry,  Vijayawada",a Leading Hospital is required OT  &  Critical care unit team immediatly for chiralaCritical care is medical care for people who have life-threatening injuries and illnesses. ... More Details,"Critical care  ,  icu  ,  Cpr  ,  Maintenance",Rs 4.00 - 5.00 L.P.A
295,HIRING 10TH AND 12TH PASS CANDIDATE FOR AIRPORT,CKP Jobs,0 - 3 yrs,"Dhule,  Dombivali,  Gondia,  Hinganghat,  Jalgaon",more detail call miss ManishaSingh 74284#97449 JOB DESCRIPTIONGround Staff job for freshers apply fast Airport wise vacancy open limited seats for freshers apply fast Start yo... More Details,"Airport Handling Operation Ground Handling  ,  Airport Security  ,  Domestic Ticketing  ,  Airline Ticketing  ,  Air Ticketing  ,  cabin crew",Rs 3.10 - 10.15 L.P.A
296,Wanted Laparoscopy Surgeon @ Nellore,M care Jobs,4 - 5 yrs,,Wanted Laparoscopy Surgeon forAP locationKey Responsibilities:Conduct thorough patient assessments and diagnose surgical conditions.Perform a variety of general surgical proce... More Details,laparoscopy,
297,MD Radiologist Vacancies @ Miryalguda,M care Jobs,3 - 4 yrs,"Hyderabad/Secunderabad,  Medak,  Nalgonda,  Sangareddy,  Other City(s) in Andhra Pradesh",MD Radiologist Vacancie @ MiryalagudaResponsibilitiesReviewing and interpreting medical images to determine patient status and future medical careDetermining the exact images ... More Details,"mri  ,  ctscan  ,  ultascan   ,  tiffa scan",Rs 36.00 - 48.00 L.P.A
298,Senior Relationship Officer-Banca Channel-CTC 4 to 5 LPA,JOBS N TA HR SERVICES,1 - 4 yrs,Vijayawada,To sell Life insurance products through the assigned Bank Channels by building long term relationship with the bank. Building Relationship and Motivate branch staff to help ge... More Details,"agency  ,  agency manager  ,  life insurance  ,  insurance sales  ,  business development manger  ,  agent",Rs 1.00 - 4.00 L.P.A
299,"""Branch Relationship Manager""",JOBS N TA HR SERVICES,1 - 5 yrs,Chennai,Promote and sell life insurance policies to prospective clients through direct channelsUnderstand client needs and recommend suitable insurance productsBuild and maintain rela... More Details,"insurance sales  ,  unit manager  ,  life insuance  ,  BFSI sales  ,  Cross selling  ,  Agency channel  ,  agency manager  ,  Relationship manager  ,  corporate sales executive  ,  sales executive",Rs 1.00 - 5.00 L.P.A
300,Wanted Gynecologist Junior / Senior Register for Tamilnadu,M care Jobs,4 - 5 yrs,,"Wanted Gynecologist Junior / Senior Register for TamilnaduLocation's : Madhurai , Chennai  , Coimbatore , Tanjavur , HosurRegistrar is responsible for providing the care of hi... More Details","Obstetrics  ,  Gynaecologist",
301,Branch Sales Manager-Agency / Health Insurance,JOBS N TA HR SERVICES,5 - 10 yrs,"Bengaluru / Bangalore,  Chennai,  Nellore,  Other City(s) in Karnataka,  Coimbatore",Manager - Agency will be responsible for handling an on roll team of 8 -10 sales managers in Agency Channel.Team of Sales Manager will be responsible for Recruitment of Team  ... More Details,"Agency Manager  ,  Branch Manager  ,  Branch Head  ,  Area Manager  ,  Territory Manager  ,  Agency Partner  ,  Agency Leader  ,  Agent  ,  Cluster Manager  ,  Channel Sales Manager  ,  UnIT head",Rs 5.00 - 10.00 L.P.A
302,Sales Development Manager-Agency -CTC 4  to 5 LPA,JOBS N TA HR SERVICES,1 - 5 yrs,"Chennai,  Trichy",Agency means you have to hire 10 to 15 members..you have to train them  &  manage them ...you are in onrole they are in off roleIt is based on  field salesRecruit Agents  /  A... More Details,"insurance sales  ,  unit manager  ,  life insuance  ,  BFSI sales  ,  Cross selling  ,  Agency channel  ,  agency manager  ,  Relationship manager  ,  corporate sales executive  ,  sales executive",Rs 1.00 - 5.00 L.P.A
303,BUSINESSDEVELOPMENT MANAGER,JOBS N TA HR SERVICES,1 - 6 yrs,"Calicut/ Kozhikode,  Cochin/ Kochi/ Ernakulam,  Kannur,  Kollam,  Kottayam",Generate Revenue by getting business from leads generated through assigned 4-5 Bank.cascade the incentive programs to Banks StaffResponsible for sales completion by facilitati... More Details,"INSURANCE  ,  BANKING  ,  BANKING SALES  ,  LOAN SALES  ,  CARD SALES",Rs 2.00 - 5.00 L.P.A
304,MD Radiologist vacancies @ Chennai Hyd Bangalore,M care Jobs,4 - 5 yrs,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Madurai,  Vellore","Wanted MD Radiologist for Chennai , Madurai , Bangalore , HyderabadLocation's :1 )  Chennai : Full Time / Part Time            1 ) Kilpauk 2 ) Alwarpet  3 ) Medavakkam4 ) Vela... More Details","MRi  ,  Ultrasound  ,  Ct Scan  ,  X-ray  ,  Interventional Radiology  ,  Predominantly ultrsound",Rs 26.00 - 36.00 L.P.A
305,Looking for MD General Medicine for Sangareddy near Hyd,M care Jobs,3 - 4 yrs,"Hyderabad/Secunderabad,  Mahabubnagar,  Medak,  Nalgonda,  Sangareddy",Wanted MD General Medicine for Sangareddy near HyderabadLocation's : SangareddyGeneral Practitioner Responsibilities:Inspecting and updating patients' charts.Diagnosing common... More Details,"epidemiology  ,  diagnostic skills  ,  critical thinking  ,  Medical Doctor  ,  General Physician",Rs 29.00 - 36.00 L.P.A
306,Looking for Biochemist @ Bhubaneshwar,M care Jobs,2 - 4 yrs,,Job brief :We are seeking a skilled Biochemist to join our team and contribute to our organizations research projects and experiments aimed at gaining a deeper understanding o... More Details,"Biochemistry  ,  Biotechnology  ,  Microbiology  ,  Dna",
307,General Insurance Agency Manager,JOBS N TA HR SERVICES,1 - 4 yrs,"Calicut/ Kozhikode,  Cochin/ Kochi/ Ernakulam,  Thiruvananthapuram","Job DescriptionRecruitment and Development:Identify and recruit potential insurance agents.Conduct training sessions to enhance agents' product knowledge ,  sales skills ,  an... More Details","Sales  ,  senior sales executive  ,  Agency manager  ,  Agency channel  ,  Agent Recruitment  ,  Unit manager  ,  Agency Sales",Rs 2.05 - 3.75 L.P.A
308,Client Manager,JOBS N TA HR SERVICES,1 - 5 yrs,"Cochin/ Kochi/ Ernakulam,  Kottayam,  Thiruvananthapuram",Generate Revenue by getting business from leads generated through assigned 4-5 banks.Responsible for sales completion by facilitating completion of medical reports  &  ensurin... More Details,"life insurance sales  ,  banking sales  ,  bfsi sales  ,  nbfc sales  ,  loan sales  ,  credit card sales  ,  health insurance sales",Rs 2.15 - 4.10 L.P.A
309,Jr.consultant Cardiology  with 2yr experience for Hyderabad,M care Jobs,2 - 5 yrs,"Hyderabad/Secunderabad,  Mahabubnagar,  Medak,  Nalgonda,  Sangareddy",A leading Hosipital in Hyderabad is looking for Jr.Consultant Cardiologist with 1 -2 yr of experienceCardiologist Job ResponsibilitiesDiagnose and treat disorders and diseases... More Details,"ecg  ,  2d Echo  ,  Tmt  ,  cardiac emergency  ,  cath lab",Rs 36.00 - 60.00 L.P.A
310,"Unit Manager , Banca , Fresher , 2.4  LPA",JOBS N TA HR SERVICES,0 - 1 yrs,Chennai,"Key Responsibilities:Sales Management: Achieve and exceed sales targets for health insurance products across the assigned bank branches.Team Leadership: Lead ,  manage ,  and ... More Details","Life insurance  ,  field sales",Rs 2.00 - 2.40 L.P.A
311,Business Development Manager -Banca channel-4.2 LPA,JOBS N TA HR SERVICES,1 - 4 yrs,"Anantapur,  Hosur,  Kanniyakumari,  Tuticorin",To sell Life insurance products through the assigned Bank Channels by building long term relationship with the bank. Building Relationship and Motivate branch staff to help ge... More Details,"agency  ,  agency manager  ,  life insurance  ,  insurance sales  ,  business development manger  ,  agent",Rs 1.00 - 4.00 L.P.A
312,Agency Development manager -4 LPA,JOBS N TA HR SERVICES,1 - 5 yrs,"Rajahmundry,  Warangal",Agency means you have to hire 10 to 15 members..you have to train them  &  manage them ...you are in onrole they are in off roleIt is based on  field salesRecruit Agents  /  A... More Details,"insurance sales  ,  unit manager  ,  life insuance  ,  BFSI sales  ,  Cross selling  ,  Agency channel  ,  agency manager  ,  Relationship manager  ,  corporate sales executive  ,  sales executive",Rs 1.00 - 5.00 L.P.A
313,sales insurance manager,JOBS N TA HR SERVICES,1 - 3 yrs,"Hyderabad/Secunderabad,  Guntur,  Kakinada,  Karimnagar,  Kurnool","Job Description      Recruit Agents  /  Advisors       Develop agents through coaching ,  training ,  team management support etc      Drive agents and advisors  team  ,  acti... More Details","Cross selling Insurance  ,  Banking  ,  Finance  ,  Field sales  ,  Agency Manager",Rs 1.00 - 4.00 L.P.A
314,Relationship Officer,JOBS N TA HR SERVICES,1 - 3 yrs,"Kollam,  Thiruvananthapuram",Key Roles:Drive revenue growth by leveraging leads from 4-5 assigned banks.design and implement effective incentive programs for bank staff.Ensure efficient processing of medi... More Details,"Relationship Manager  ,  insurance  ,  life insurance  ,  Banking  ,  Financial Services  ,  Loans  ,  Credit",Rs 2.05 - 2.60 L.P.A
315,Relationship Manager,JOBS N TA HR SERVICES,3 - 6 yrs,"Bengaluru / Bangalore,  Chennai,  Coimbatore,  Madurai,  Nagercoil",Getting leads from allotted Bank and source business through direct marketing techniques.Responsible for establishing and strengthening relationship with customers in Bank.Fol... More Details,"Life insurance  ,  relationship Manager  ,  Business Development Manager  ,  unit Manager  ,  corporate account manager  ,  key account Manager  ,  kanchipuram  ,  theni",Rs 2.00 - 4.00 L.P.A
316,Wanted MD Pediatrics  near Guntur,M care Jobs,4 - 5 yrs,"Guntur,  Nellore,  Ongole,  Rajahmundry,  Vijayawada","Wanted MD Paediatrics near GunturPediatrician Responsibilities:Diagnosing and treating illnesses ,  medical conditions ,  and injuries.Ordering ,  performing ,  and interpreti... More Details","Pediatric  ,  Pediatrics",Rs 24.00 - 36.00 L.P.A
317,Agency Manager-Agency channel-CTC 4.5 to 5.5,JOBS N TA HR SERVICES,1 - 5 yrs,"Chennai,  Hyderabad/Secunderabad,  Visakhapatnam,  Trichy","Achieve the sales revenue target in the assigned territoryChannel Development and Infrastructure  ( Distributors  /  Retailers ) Monitor the performance of distributors ,  pre... More Details","agency channel  ,  agency  ,  agent recruitment  ,  agency manager  ,  cross selling  ,  BFSI sales  ,  field sales  ,  insurance sales  ,  life insurance  ,  agent",Rs 1.00 - 5.00 L.P.A
318,Required MD Radiologist for Chhattisgarh,M care Jobs,3 - 4 yrs,"Bhilai-Durg,  Bilaspur,  Raipur,  Other City(s) in Chhattisgarh","DM Radiologist Vacancy for Chhattisgarh , Mahasamund , BasnaResponsibilities :Reviewing and interpreting medical images to determine patient status and future medical careDete... More Details","mri  ,  ctscan  ,  ultascan   ,  tiffa scan",Rs 24.00 - 36.00 L.P.A
319,Required Critical care team @ Chirala,M care Jobs,4 - 5 yrs,"Guntur,  Nellore,  Ongole,  Rajahmundry,  Vijayawada",a Leading Hospital is required OT  &  Critical care unit team immediatly for chiralaCritical care is medical care for people who have life-threatening injuries and illnesses. ... More Details,"Critical care  ,  icu  ,  Cpr  ,  Maintenance",Rs 4.00 - 5.00 L.P.A
320,HIRING 10TH AND 12TH PASS CANDIDATE FOR AIRPORT,CKP Jobs,0 - 3 yrs,"Dhule,  Dombivali,  Gondia,  Hinganghat,  Jalgaon",more detail call miss ManishaSingh 74284#97449 JOB DESCRIPTIONGround Staff job for freshers apply fast Airport wise vacancy open limited seats for freshers apply fast Start yo... More Details,"Airport Handling Operation Ground Handling  ,  Airport Security  ,  Domestic Ticketing  ,  Airline Ticketing  ,  Air Ticketing  ,  cabin crew",Rs 3.10 - 10.15 L.P.A
321,Wanted Laparoscopy Surgeon @ Nellore,M care Jobs,4 - 5 yrs,,Wanted Laparoscopy Surgeon forAP locationKey Responsibilities:Conduct thorough patient assessments and diagnose surgical conditions.Perform a variety of general surgical proce... More Details,laparoscopy,
322,MD Radiologist Vacancies @ Miryalguda,M care Jobs,3 - 4 yrs,"Hyderabad/Secunderabad,  Medak,  Nalgonda,  Sangareddy,  Other City(s) in Andhra Pradesh",MD Radiologist Vacancie @ MiryalagudaResponsibilitiesReviewing and interpreting medical images to determine patient status and future medical careDetermining the exact images ... More Details,"mri  ,  ctscan  ,  ultascan   ,  tiffa scan",Rs 36.00 - 48.00 L.P.A
323,Senior Relationship Officer-Banca Channel-CTC 4 to 5 LPA,JOBS N TA HR SERVICES,1 - 4 yrs,Vijayawada,To sell Life insurance products through the assigned Bank Channels by building long term relationship with the bank. Building Relationship and Motivate branch staff to help ge... More Details,"agency  ,  agency manager  ,  life insurance  ,  insurance sales  ,  business development manger  ,  agent",Rs 1.00 - 4.00 L.P.A
324,"""Branch Relationship Manager""",JOBS N TA HR SERVICES,1 - 5 yrs,Chennai,Promote and sell life insurance policies to prospective clients through direct channelsUnderstand client needs and recommend suitable insurance productsBuild and maintain rela... More Details,"insurance sales  ,  unit manager  ,  life insuance  ,  BFSI sales  ,  Cross selling  ,  Agency channel  ,  agency manager  ,  Relationship manager  ,  corporate sales executive  ,  sales executive",Rs 1.00 - 5.00 L.P.A
325,Wanted Gynecologist Junior / Senior Register for Tamilnadu,M care Jobs,4 - 5 yrs,,"Wanted Gynecologist Junior / Senior Register for TamilnaduLocation's : Madhurai , Chennai  , Coimbatore , Tanjavur , HosurRegistrar is responsible for providing the care of hi... More Details","Obstetrics  ,  Gynaecologist",
326,Branch Sales Manager-Agency / Health Insurance,JOBS N TA HR SERVICES,5 - 10 yrs,"Bengaluru / Bangalore,  Chennai,  Nellore,  Other City(s) in Karnataka,  Coimbatore",Manager - Agency will be responsible for handling an on roll team of 8 -10 sales managers in Agency Channel.Team of Sales Manager will be responsible for Recruitment of Team  ... More Details,"Agency Manager  ,  Branch Manager  ,  Branch Head  ,  Area Manager  ,  Territory Manager  ,  Agency Partner  ,  Agency Leader  ,  Agent  ,  Cluster Manager  ,  Channel Sales Manager  ,  UnIT head",Rs 5.00 - 10.00 L.P.A
327,Sales Development Manager-Agency -CTC 4  to 5 LPA,JOBS N TA HR SERVICES,1 - 5 yrs,"Chennai,  Trichy",Agency means you have to hire 10 to 15 members..you have to train them  &  manage them ...you are in onrole they are in off roleIt is based on  field salesRecruit Agents  /  A... More Details,"insurance sales  ,  unit manager  ,  life insuance  ,  BFSI sales  ,  Cross selling  ,  Agency channel  ,  agency manager  ,  Relationship manager  ,  corporate sales executive  ,  sales executive",Rs 1.00 - 5.00 L.P.A
328,BUSINESSDEVELOPMENT MANAGER,JOBS N TA HR SERVICES,1 - 6 yrs,"Calicut/ Kozhikode,  Cochin/ Kochi/ Ernakulam,  Kannur,  Kollam,  Kottayam",Generate Revenue by getting business from leads generated through assigned 4-5 Bank.cascade the incentive programs to Banks StaffResponsible for sales completion by facilitati... More Details,"INSURANCE  ,  BANKING  ,  BANKING SALES  ,  LOAN SALES  ,  CARD SALES",Rs 2.00 - 5.00 L.P.A
